"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41","Response_42","Response_43","Response_44","Response_45","Response_46","Response_47","Response_48","Response_49","Response_50","Response_51","Response_52","Response_53","Response_54","Response_55","Response_56","Response_57","Response_58","Response_59","Response_60","Response_61","Response_62","Response_63","Response_64","Response_65","Response_66","Response_67","Response_68","Response_69","Response_70","Response_71"
"117","leopard","tiger","lion","puma","cat","siamese","dog","hyena","wolf","coyote","antelope","deer","bear","fish","dolphin","whale","salmon","tuna","bass","flounder","clownfish","anemone","sea urchin","jellyfish","seal","penguin","polar bear","black bear","cheetah","monkey","chimpanzee","marmot","gopher","elephant","mouse","rat","goldfish","shark","great white shark","snake","boa constrictor","python","ball python","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","cat","dog","bird","shark","fish","lion","zebra","cheetah","horse","lizard","whale","dolphin","hawk","snake","donkey","leopard","monkey","dinosaur","hippopotamus","cow","chicken","pig","mouse","hamster","frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","penguin","dog","cat","mouse","rat","horse","snake","lizard","spider","emu","ostrich","wolf","deer","bear","goat","mule","donkey","pig","scorpion","bird","dolphin","shark","fish","manatee","sea cucumber","otter","whale","orca","porpoise","mountain lion","giraffe","monkey","ape","gorilla","panda","red panda","dinosaur","anteater","oryx","wildebeest","hippopotamus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","cat","dog","squirrel","deer","bear","lion","mouse","rat","tiger","elephant","antelope","bird","groundhog","penguin","mongoose","fish","shark","dolphin","kangaroo","marsupial","koala","snake","ant","insect","spider","ape","monkey","gorilla","baboon","bat","sheep","cow","pig","chicken","goat","horse","human","chameleon","reef triggerfish","parrot","alligator","crocodile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","cat","dog","mouse","rat","golden retriever","beagle","basset hound","goldfish","betta fish","turtle","lion","tiger","bear","black bear","brown bear","raccoon","giraffe","rhinoceros","white rhinoceros","great dane","shihtzu","ferret","bunny","tortoise","black lab","monkey","gorilla","shark","howler monkey","elephant","panda","red panda","hamster","fox","coyote","zebra","alligator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","cat","dog","mouse","horse","fish","whale","jaguar","lion","tiger","panda","ostrich","penguin","scorpion","wolf","hyena","snake","cockroach","fly","bee","wasp","hornet","boa constrictor","panther","lab","rottweiler","ocelot","dodo","eagle","hawk","bull","cow","mule","dolphin","seal","walrus","hippopotamus","zebra","ram","sheep","antelope","eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","dog","cat","bear","fish","tiger","pet","polar bear","amphibian","reptile","snake","mammal","bird","maltese","golden retriever","lab","husky","corgi","shih tzu","chihuahua","great dane","german shepherd","deer","turkey","pheasant","spider","arachnid","lizard","monkey","butterfly","scorpion","tarantula","pig","chicken","hen","lamb","bull","cow","dinosaur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","cow","elephant","giraffe","horse","cheetah","lion","tiger","bear","dog","cat","hamster","mule","goose","panda","white tiger","alligator","kangaroo","wolf","llama","goat","turtle","whale","humpback whale","orca","panther","boar","pig","bull","donkey","german shepherd","poodle","golden retriever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","mammal","fish","zebra","meerkat","reptile","snake","lizard","bearded dragon","ferret","hamster","guinea pig","parrot","macaw","orangutan","chimpanzee","ring-tailed lemur","betta fish","goldfish","lion","pufferfish","mouse","rat","giant panda","giraffe","hippopotamus","dog","cat","turtle","tortoise","frog","toad","gila monster","rattlesnake","finch","hyena","peccary","baboon","duck","llama","alpaca","goat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","cat","dog","mouse","sheep","horse","cow","lamb","snake","zebra","tiger","wolf","deer","coyote","bird","dove","raccoon","giraffe","penguin","leopard","lemur","monkey","orangutan","gorilla","fish","donkey","kangaroo","dodo","lizard","hamster","rat","whale","dolphin","shark","seal","otter","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","dog","cat","snake","panda","bear","bird","fish","shark","whale","dolphin","kangaroo","monkey","penguin","bunny","spider","ant","fly","turtle","lion","cheetah","zebra","rhinoceros","giraffe","elephant","pig","cow","duck","chicken","shrimp","donkey","bull","camel","scorpion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","bird","dog","horse","cow","pig","chicken","goose","owl","eagle","dolphin","elephant","lion","hippopotamus","rhinoceros","zebra","antelope","deer","boar","coyote","wolf","puma","tiger","leopard","cheetah","parrot","macaw","monkey","chimpanzee","marmoset","lovebird","condor","vulture","aardvark","goldfish","cat","snake","python","tarantula","spider","golden retriever","dalmatian","ocelot","beluga","starfish","octopus","clam","blue whale","polar bear","penguin","flamingo","turtle","bat","insect","hedgehog","goat","rat","hamster","chinchilla","beaver","fox","hummingbird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","elephant","giraffe","zebra","penguin","walrus","bear","dog","cat","wolf","hamster","rabbit","bunny","snake","scorpion","spider","fish","shark","whale","lion","hippopotamus","monkey","orangutan","gorilla","seal","bird","pigeon","dove","hawk","sparrow","toucan","frog","toad","cardinal","goat","sheep","pig","cow","chicken","fox","hen","goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","dog","cat","bird","pig","cow","horse","zebra","lion","cheetah","monkey","panda","koala","donkey","kangaroo","dolphin","whale","shark","bear","tiger","leopard","giraffe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","mammal","reptile","bird","dog","cat","bear","snake","frog","fish","whale","insect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","mammal","amphibian","reptile","dinosaur","cat","dog","lion","bear","tiger","dolphin","whale","clownfish","puppy","kitten","hawk","bald eagle","flamingo","bird","otter","snake","rattlesnake","cornsnake","anaconda","beagle","golden retriever","husky","wolf","peccary","pig","cow","chicken","duck","shark","hammerhead shark","great white shark","bottlenose dolphin","parrot","squirrel","chipmunk","crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","duck","lion","rooster","monkey","penguin","flamingo","bird","cat","dog","fish","whale","panda","rhinoceros","giraffe","ostrich","goat","sheep","pig","cow","horse","hamster","bunny","rat","deer","elephant","bear","cheetah","puma","vulture","sloth","fox","shark","seagull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","cat","lion","horse","pony","human","monkey","gorilla","rhinoceros","cheetah","dog","wolf","coyote","giraffe","hippopotamus","gazelle","bear","panther","tiger","elephant","husky","bull","leopard","jaguar","bronco","dolphin","fish","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","cat","dog","fish","bear","bird","emu","lizard","hamster","eagle","snake","giraffe","lion","tiger","elk","deer","cougar","whale","dolphin","shark","parrot","seal","manatee","sloth","monkey","gorilla","fox","antelope","rat","loon","duck","insect","chickadee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","dog","pug","retriever","golden retriever","monkey","ape","gorilla","orangutan","cat","lion","bear","fox","bird","hawk","eagle","fish","shark","dolphin","whale","elephant","panda","grizzly bear","black bear","pit bull","bull","snake","lizard","chicken","cow","goat","sheep","pig","mountain lion","bat","hog","human","squirrel","rodent","salamander","goldfish","catfish","toucan","bull shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","dog","cat","mammal","frog","zebra","turtle","monkey","donkey","dolphin","horse","whale","tiger","cheetah","penguin","polar bear","bear","brown bear","black bear","fish","raccoon","rat","red kangaroo","panda","bird","dove","swan","duck","pigeon","owl","snake","bobcat","parrot","gorilla","fox","golden retriever","dalmatian","german shepherd","mouse","alligator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","dog","cat","bird","hamster","guinea pig","mouse","rabbit","tiger","lion","kangaroo","cheetah","hyena","chicken","pig","cow","buffalo","horse","deer","moose","bear","monkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","dog","cat","bat","mammal","whale","human","shark","turtle","tortoise","beaver","elephant","giraffe","monkey","ape","gorilla","zebra","crocodile","bird","parrot","jellyfish","dolphin","fish","chicken","goat","horse","rat","mouse","ferret","hamster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","cat","dog","mouse","rat","bunny","lion","zebra","cheetah","jaguar","dolphin","whale","penguin","polar bear","black bear","snake","beetle","spider","bee","wasp","bald eagle","owl","hawk","hummingbird","crab","lobster","shark","swordfish","rhinoceros","giraffe","hippopotamus","centipede","millipede","dodo","turtle","tortoise","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","elephant","dog","cat","tiger","sheep","donkey","giraffe","mouse","rat","bird","lizard","hen","chicken","turkey","rhinoceros","iguana","lion","seal","penguin","fish","manta ray","shark","dolphin","whale","tiger shark","sea turtle","turtle","tortoise","sloth","porcupine","manatee","panther","jaguar","hamster","rabbit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","dog","cat","jaguar","cheetah","rhinoceros","giraffe","koala","sloth","whale","horse","turtle","chicken","rabbit","fox","coyote","wolf","hippopotamus","bear","polar bear","arctic fox","lion","tiger","zebra","monkey","chimpanzee","ape","gorilla","deer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","dog","cat","fish","goat","horse","giraffe","cow","deer","elk","bull","chicken","bird","robin","blue jay","squirrel","rat","bear","black bear","brown bear","polar bear","panda","koala","kangaroo","penguin","wolf","coyote","ram","smallmouth bass","largemouth bass","husky","pike","walleye","perch","catfish","shark","great white shark","whale","dolphin","blue whale","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","aardvark","whale","dolphin","squirrel","dog","cat","cow","goose","hog","pig","goat","deer","wolf","platypus","penguin","donkey","gopher","bulldog","elephant","snake","frog","fish","shark","manatee","bird","eagle","hawk","owl","dove","robin","raccoon","badger","anaconda","boa constrictor","human","goldfish","hamster","llama","yak","buffalo","coyote","armadillo","rattlesnake","scorpion","spider","bee","wasp","duck","worm","lion","tiger","bear","lynx","leopard","jaguar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","dog","cat","hamster","rat","mouse","guinea pig","scorpion","spider","fish","donkey","horse","cow","pig","sheep","chicken","hen","bird","eagle","hawk","sparrow","crow","elephant","giraffe","crocodile","lion","hyena","gazelle","zebra","monkey","baboon","gorilla","orangutan","bear","polar bear","grizzly bear","black bear","brown bear","koala","panda","lemur","white tiger","penguin","seal","otter","walrus","rabbit","bunny","unicorn","alligator","cockatoo","squirrel","raccoon","fox","moose","deer","reindeer","coyote","snake","gila monster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","wolverine","elephant","whale","shark","whale shark","orca","porcupine","fox","wolf","turtle","tortoise","sea turtle","snake","crocodile","alligator","bear","leopard","lion","jaguar","dog","cat","lizard","squirrel","bobcat","lobster","seahorse","tiger","rhinoceros","giraffe","hippopotamus","seal","duck","goose","hyena","koala","sloth","aardvark","monkey","chimpanzee","orangutan","gorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","dog","cat","bulldog","lab","fish","tuna","shark","great white shark","whale","humpback whale","blue whale","orca","dolphin","seahorse","shrimp","lizard","iguana","bear","black bear","polar bear","zebra","cheetah","lion","panther","snake","rattlesnake","cornsnake","king cobra","rat","mouse","hamster","goldfish","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","cat","dog","fish","horse","chicken","goat","pig","monkey","salmon","trout","barracuda","swordfish","great white shark","hammerhead shark","pufferfish","anglerfish","lobster","crab","porcupine","rhinoceros","lion","tiger","bear","leopard","clouded leopard","polar bear","black bear","brown bear","panda","gecko","iguana","salamander","frog","toad","horned toad","spotted owl","tardigrade","tabby","kangaroo","spider","funnel web spider","box jellyfish","dingo","emu","koala","bengal tiger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","tiger","lion","elephant","cheetah","rhinoceros","turtle","bear","whale","shark","fish","bee","fly","mouse","rat","dog","cat","parrot","puma","polar bear","grizzly bear","black bear","warthog","giraffe","monkey","ape","white tiger","anteater","sloth","grasshopper","seal","hog","kangaroo","flamingo","peacock","panda","moose","koala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","dog","cat","squirrel","mouse","rat","fish","shark","bird","eagle","dalmatian","parrot","turtle","koala","polar bear","grizzly bear","jellyfish","clam","wolf","tiger","lion","lizard","rhinoceros","jaguar","scorpion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","dog","cat","fish","alligator","crocodile","turtle","bird","snake","elephant","giraffe","lion","tiger","bear","impala","cheetah","shark","whale","hedgehog","pig","chicken","horse","cow","calf","donkey","rat","mouse","moose","caribou","wolf","elk","deer","bull","buffalo","goose","duck","dove","pigeon","monkey","gorilla","chimpanzee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","insect","mammal","fish","amphibian","tiger","lion","snake","bird","monkey","dolphin","shark","jellyfish","mosquito","bee","wasp","beetle","leopard","cheetah","panther","mountain lion","goat","cow","sheep","pig","chicken","yak","squirrel","cat","dog","hamster","goldfish","parrot","parakeet","gerbil","guinea pig","rabbit","duck","goose","antelope","wildebeest","bear","salmon","cod","tilapia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","cat","dog","fish","goat","horse","ferret","squirrel","shark","whale","sheep","wolf","lion","cheetah","gazelle","elephant","giraffe","penguin","seal","turtle","hamster","gerbil","eagle","parrot","bear","deer","pig","spider","cricket","mosquito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","dog","cat","mouse","rat","horse","guinea pig","snake","frog","betta fish","salmon","black bear","grizzly bear","parakeet","sugar glider","rabbit","giraffe","elephant","lion","tiger","panther","cheetah","antelope","shark","great white shark","humpback whale","gazelle","meerkat","penguin","panda","coyote","peccary","mountain lion","puma","porcupine","lemur","siberian husky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","dog","coyote","wolf","pug","hyena","cat","lion","tiger","lynx","bobcat","mountain lion","puma","leopard","fox","panther","bird","falcon","eagle","hawk","pigeon","dove","sparrow","hummingbird","cardinal","giraffe","zebra","horse","rhinoceros","hippopotamus","fish","snake","lizard","gecko","turtle","tortoise","whale","dolphin","blue whale","orca","gopher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
